,Index,Address,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
100,101,0x00f166114c211b7e71e09bfd5d6ffee8716bc0cb,9.02,12.37,952.85,59,34,0,8,52,0,49.99952800000001,3.4551580000000004,0,44.770872,1.990643,0,0,0,93,117.44796370000002,117.475363,0,0.027399237000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,105,0x010c41f9ada72d7993973ee274c6cc93a309f805,161.67,0.04,323.42,2,2,0,2,2,24.612212,76.387788,50.5,2.4845,98.514516,50.499508,0,0,0,4,100.9990158,101,0,0.000984218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,114,0x016cd40242a3b50902c84088092ef87c85d782b3,2809.83,3186.72,376480.78,58,67,0,12,32,0,49.477281,8.303953,0,222.627319,9.990969,0,0,0,125,579.4761972,556.364853,0,-23.1113442,46,128960.5576,127086.9274,0,13,17,0,20,0,0,0,0,0,86993.40563,5373.356568,0,58760,5776.678517,0,0,0,13,20,Mysterium,Reputation
164,165,0x029798d4c234549b24dcfe12fb03ac50aa1b453e,3827.27,1074.42,1921036.52,64,1560,0,1,43,0.200004,28.010089,1.994397,3.327554,278.522983,47.960507,0,0,0,1624,3069.472425,3111.258825,0,41.78640022,13,3443.673581,0,0,0,10,0,13,0,0,0,0,0,1686.63085,264.897968,0,0,0,0,0,0,0,13,None,Tronix
166,167,0x02a70f1f4449443fa36c14388479488d460007d7,484.97,13360.06,237790.27,22,17,0,13,21,0.006783,1.243,0.26342600000000005,0,1.108783,0.203076,0,0,0,39,4.46766152,4.47824154,0,0.01058002,6,4.609305003999999,4.609305003,0,3,3,0,3,0,0,0,0,0,4.609305,1.536435,0,4.609305,1.536435,0,0,0,2,3,DGD,DGD
178,179,0x0303dc78685fc446871d568c6e86a9547fb1d2c7,1.56,0,4.68,3,2,0,2,3,98.62372,1902.37628,1000.5,9.999703,1542.499603,666.999528,0,0,0,5,2000.998585,2001,0,0.001414909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,202,0x037017bcdddb206f35e0e0c7c6edc699c19b57af,3070.03,35556.84,974378.8,51,23,0,8,25,0.005,6,1.277459,0,6.53,0.69957,0,0,0,74,35.67806737,29.38156653,0,-6.29650084,39,161926.5824,161364.9444,0,9,13,0,14,0,0,0,0,0,158681.0651,7360.299198999999,0,158681.0651,9492.055551,0,0,0,10,14,Patientory,Monaco
206,207,0x03805dda8b08f71e0bda8faff59481868ab35a7d,20437.43,47057.88,447735.1,15,3,0,2,11,0.018000000000000002,0.5,0.204333,0,0.3025,0.120252,0,0,0,18,1.803776506,0.613,0,-1.190776506,14,112769.9967,811.9129826000002,0,1,9,0,9,0,0,0,0,0,55978,11276.99967,0,800,202.978246,0,0,0,4,8,NapoleonX,Azbit
224,225,0x04349ba34e04d2d1666e8ef68d79a34077781eb8,134.97,8427.96,898837.57,103,105,0,1,1,0.112939,1.395217,1.024937,1.008043,1.7774299999999998,1.042574,0,0,0,208,107.385162,107.6184304,0,0.23326833,2,8.02e-09,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,None,Send your ETH to this contract and earn 2.55% every day for Live-long. https://255eth.club
230,231,0x0440a7cd16bdb5218f10b73f1694c5b1731bb1f8,163.93,0,327.87,2,1,0,1,2,101,101,101,0.510483,100.488533,50.499508,0,0,0,3,100.9990158,101,0,0.000984218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,250,0x04aec1e843907668fded23b6f8814ef5396082e7,0,0,598.23,1,1,0,1,1,0.18,0.18,0.18,0.17937999999999998,0.17937999999999998,0.17937999999999998,0,0,0,2,0.17937999999999998,0.18,0,0.00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,254,0x04cec571a0758001a9d03533d54e643a9fa7dcbb,2104.21,5422.52,17157.67,3,2,0,2,3,0.064612,0.13358699999999998,0.0991,0,0.132123,0.065425,0,0,0,5,0.196273576,0.19819913,0,0.001925554,5,126.22602240000002,126.22602240000002,0,1,1,0,1,0,0,0,0,26.409370000000006,40.021589,31.556506,126.226022,126.226022,126.226022,0,0,0,1,1,Golem,Golem
277,278,0x058a99632be743ad9722c639b5aa707b0562653f,0,0,12.82,1,1,0,1,1,0.142549,0.142549,0.142549,0.141929,0.141929,0.141929,0,0,0,2,0.14192875,0.14254875,0,0.00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,303,0x0690b9957bbc960f865f9262e4ba4f7a2db80bb4,4.14,8490.96,16990.2,2,2,0,2,2,0.057632,0.809245,0.433439,0.056832000000000014,0.8083560000000001,0.432594,0,0,0,4,0.865188098,0.86687716,0,0.001689062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,304,0x06993321df90da3f4a00a69b6eddbc2028a46c4e,24.9,0,323.72,13,1,0,1,12,101,101,101,0.001803,96.491637,7.768725999999999,0,0,0,14,100.9934402,101,0,0.00655978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,308,0x06b3c48734bee49e932415d51a34301519fc86c0,0,10548.62,116034.77,0,11,1,6,0,0,16.874694,5.241467,0,0,0,0,0,0,12,0,57.65614122,0,57.65614122,2,6.606344016,0,0,0,2,0,2,0,0,0,0,1.606344,5,3.303172,0,0,0,0,0,0,0,2,None,OmiseGO
311,312,0x06b7deefed2ec1720b94c3caf9cb633f49d3bc3e,0,155.33,15909.2,1,2,0,1,1,0.262575,2.33203,1.297302,2.593891,2.593891,2.593891,0,0,0,3,2.593890756,2.59460479,0,0.000714034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,316,0x06d5c61214916eb9d2f217c03bacd567e5d5c637,0,6778.5,291475.3,0,43,1,4,0,0,1.001349,0.739379,0,0,0,0,0,0,44,0,31.79330035,0,31.79330035,2,1.457833166,0,0,0,2,0,2,0,0,0,0,0.6106600000000001,0.847173,0.728917,0,0,0,0,0,0,0,2,None,DATAcoin
325,326,0x070ff136b48a9e01dfc9710eb8fdb1b5bee902a2,2.58,3274.75,298210.97,81,91,0,16,1,0.2,291.99,15.395501,0.42958,291.98958,17.338454000000002,0,0,0,172,1404.414751,1400.990629,0,-3.424122821,1,600,0,0,0,1,0,1,0,0,0,0,600,600,600,0,0,0,0,0,0,0,1,None,AICRYPTO
329,330,0x072016e7b237d7c77223a7f4d8a4ab57637f6925,12.78,8980.9,629558.2,70,70,0,2,1,0.19561,2.995,0.24650500000000006,0.19414,2.994538,0.245862,0,0,0,140,17.2103127,17.25534477,0,0.045032073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,352,0x07a43d25c586bd1c683f0a9c3953fc9016d82425,464.26,33817.19,615209.03,14,18,0,2,4,0.083331,0.388273,0.17090999999999998,0.056,0.49,0.203618,0,0,0,32,2.85065524,3.07638424,0,0.225729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,366,0x081b07857a1ddc1a9a3cd180fedbe5e62c7319bc,2796.41,37937.2,130590.05,6,3,0,2,4,0.007,0.091464,0.041821,0,0.114611,0.020195,0,0,0,9,0.121170143,0.12546395,0,0.004293807,6,90.69021839,90.69021839,0,4,2,0,2,0,0,0,0,12.67858,78.011638,45.345109,3.011638,40,22.672555,0,0,0,2,2,Golem,ICONOMI
367,368,0x081e63c394e184cde754d6722b0a88a506efc36e,3092.91,9775.97,776995.78,11,76,0,3,9,0.2,0.49375,0.208187,0.1,4.741613,0.859318,0,0,0,87,9.45249732,15.82221171,0,6.369714386,15,8548.280782,0,0,0,11,0,15,0,0,0,0,0,5025.5,569.8853849999998,0,0,0,0,0,0,0,15,None,Tronix
376,377,0x08666ee6b7f4fa8b6b53e14e5f8d6e8d768e6700,59.44,2085.1,906247.85,408,423,0,1,1,0.01043,1.077652,0.994212,0.487795,5.012288,1.02948,0,0,0,831,420.02767530000006,420.551825,0,0.524149743,2,100,0,0,0,2,0,2,0,0,0,0,0,100,50,0,0,0,0,0,0,0,2,None,Tronix
379,380,0x0871fdbe81442972c6c21569945452ecce6a318b,5256.73,5200.14,251870.42,40,8,1,5,23,0.008362,7.999,2.411367,0,7.95,0.481025,0,0,0,49,19.241,19.29093731,0,0.049937305,46,104074.4279,101093.4279,0,13,22,0,16,0,0,0,0,0,76000,3854.60844,0,76000,5320.70673,0,0,0,13,15,Edgeless,BitCAD
413,414,0x091d01ccc42ddc23b183fd0bb5c96982ec2cc227,0,57554.25,230217.02,0,4,1,2,0,0.7842399999999999,19.995,8.360968,0,0,0,0,0,0,5,0,33.443870000000004,0,33.443870000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,416,0x093d4ac2055b55b05c6e92dcc823d00e57a074f7,310.33,5005.28,874362.07,124,167,0,5,2,0.049002,25.5,0.330032,0.048394,25.5042,0.444007,0,0,0,291,55.05681216,55.11542298,0,0.05861082,2,186.8341996,0,0,0,2,0,2,0,0,0,0,0,186.8342,93.4171,0,0,0,0,0,0,0,2,None,INS Promo
417,418,0x0941ccb7e44f1c7197186dc48cc943a40d494b00,21.77,0,65.32,3,1,0,1,3,101,101,101,1.668218,97.377928,33.666149,0,0,0,4,100.998446,101,0,0.001554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,423,0x096dc550583a6acdbc80954951a5b3b724fd85c0,0,0,145464.3,1,1,0,1,1,0.995,0.995,0.995,0.9,0.9,0.9,0,0,0,2,0.9,0.995,0,0.095,1,0.074949666,0,0,0,1,0,1,0,0,0,0,0.07495,0.07495,0.07495,0,0,0,0,0,0,0,1,None,OmiseGO
435,436,0x09e15c790644b26fde0b1c0624df4f5bf723ec81,155.1,0,310.2,2,1,0,1,2,101,101,101,1.6,99.399016,50.499508,0,0,0,3,100.9990158,101,0,0.000984218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,443,0x0a08b7f9d69133ac6dd85c649d46cf41f4e55668,247.72,31648.25,286816.02,8,9,0,9,1,0.012428,0.226352,0.084107,0.01194,0.225693,0.093855,0,0,0,17,0.750839788,0.75696684,0,0.006127052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,444,0x0a1ac9b9a342c3600995845eec7254df664d6aa9,14.23,775.77,562039.25,681,712,0,6,10,0.012991999999999998,720.3,3.077847,0.037365,720.29979,3.217086,0,0,0,1393,2190.83581,2191.426851,0,0.591041644,3,100093,0,0,0,3,0,3,0,0,0,0,20,100053,33364.33333,0,0,0,0,0,0,0,3,None,Data
444,445,0x0a27e98b470fdc2ebc345c196636eca0ac1554fd,0,0,102.15,1,1,0,1,1,0.311935,0.311935,0.311935,0.309735,0.309735,0.309735,0,0,0,2,0.3097353,0.3119353,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,452,0x0a8e0ad83c28ac3689718e59528a2c6924e4d651,148.18,6223.06,1198237.45,107,190,0,4,1,0.103468,1.146521,0.554501,0.490976,1.914593,0.980223,0,0,0,297,104.8838571,105.3551839,0,0.471326795,4,387.1200828,0,0,0,3,0,4,0,0,0,0,0,365,96.780021,0,0,0,0,0,0,0,4,None,Livepeer Token
454,455,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,24.66,14.42,146014.17,180,9820,0,1408,11,0.098572,17699.99914,19.097725,0.99,6330,1038.433629,0,0,0,10000,186918.0533,187539.6575,0,621.6042415000002,48,6000020559,1000010001,0,2,34,0,36,0,0,0,0,0,3000000000,130435229.5,0.5,1000010000,500005000.3,0,0,0,2,36,EOS,HuobiToken
477,478,0x0b1e409ba98ccaf737e1f8cd628ac144d5ffc20e,23.86,0.43,72.45,3,2,0,2,3,11.03166,89.96834,50.5,8,80.441098,33.666152000000004,0,0,0,5,100.9984557,101,0,0.001544256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,490,0x0b665e028aaba156a3e605f1abbc34b6becf300d,23.23,0,69.68,3,1,0,1,3,101,101,101,0.01,56.384397,33.666149,0,0,0,4,100.998446,101,0,0.001554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,534,0x0c88b9440da61a6b0b69bdfc40659621cb0dcd0f,3.87,6392.85,70363.92,11,11,0,9,11,0.331,10.2,2.204409,0.330559,10.19958,2.203911,0,0,0,22,24.24301981,24.24849464,0,0.005474833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,545,0x0cf6951e5d1b4622ffeb9bbe93ac4c9acfe5e482,7.97,7868.86,204725.9,17,26,0,1,1,0.049039,0.195143,0.092081,0.057485,0.194454,0.139693,0,0,0,43,2.37477691,2.394114333,0,0.019337423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,551,0x0d11ec699c623fb62de3d396df7a9381e56cbf00,1559.01,53123.24,162487.73,2,3,0,3,1,1.7e-05,0.104979,0.068011,0.098576,0.104517,0.101546,0,0,0,5,0.203092193,0.204033012,0,0.000940819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,560,0x0d60f3c2410d9530c345dea9d6191d17027ce688,1252.16,33694.53,280825.65,9,8,0,4,2,0.05,6.42034,2.420779,0.003711,6.419185,2.150859,0,0,0,17,19.35773386,19.36623147,0,0.008497606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,568,0x0da5e009ca9ca75a0d43117f8ce770562fbed805,21.94,0,65.82,3,1,0,1,3,101,101,101,27.36,45.481026,33.666149,0,0,0,4,100.998446,101,0,0.001554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,569,0x0da8b8ba342526c661bc04d64420d7f224e16df8,2986.83,4371.28,726979.05,179,44,0,15,57,0.05,100.1,12.91995,0,88.7,3.2975980000000003,0,0,0,223,590.27,568.4778002,0,-21.7921998,288,91057179.23,72249002.72,0,25,45,0,48,0,0,0,0,0,18800000,462219.1839,0,18800000,793945.0848,0,0,0,30,46,StatusNetwork,StatusNetwork
580,581,0x0dce54dbfb06bc3290901ab59b812dec049cf250,11567.25,25292.7,449570.33,17,10,0,7,9,0.05,3.73342,0.851311,0,3.3,0.500311,0,0,0,27,8.505290959,8.51310655,0,0.007815591,18,2822.039752,2506.754766,0,3,6,0,5,0,0,0,0,0.479871,1356.027284,217.079981,2,1355.79136,501.350953,0,0,0,3,5,Golem,OmiseGO
592,593,0x0e19b24c6091cbe271c08143e581d2ae7339f120,406.61,10909.43,729037.15,49,65,0,2,1,0.120676,6.326516000000002,0.7105899999999999,0.490848,6.324938,0.941416,0,0,0,114,46.1293779,46.18835595,0,0.058978049,1,2.047809554,0,0,0,1,0,1,0,0,0,0,2.04781,2.04781,2.04781,0,0,0,0,0,0,0,1,None,Livepeer Token
610,611,0x0e9d3baa3fef9c0d786a0a20fbaa9ae85eb6d783,21.36,0,64.08,3,1,0,1,3,101,101,101,0.1,51.991678,33.666149,0,0,0,4,100.998446,101,0,0.001554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,621,0x0ed9f0de1141f75b2c6fec6a9db18a4e34c4acf5,22.99,0,68.97,3,1,0,1,3,101,101,101,0.4991600000000001,89.927808,33.666149,0,0,0,4,100.998446,101,0,0.001554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,622,0x0edf08cad6af42cc6df6892e7181f6b36a85d27d,11056.2,23190.32,489429.62,17,13,0,5,10,0.01,0.36,0.12831199999999998,0,0.39758,0.136666,0,0,0,30,2.323326139,1.6680597169999998,0,-0.655266422,7,937.2829715,569.5,0,3,3,0,3,0,0,0,0,0,890,234.320743,20,490,189.833333,0,0,0,3,3,NimiqNetwork,Polybius
653,654,0x0fdfeaf4f6abaa74fc859307c3795c38d02b7760,21949.99,3560.28,152473.25,5,12,0,2,3,2.422558,82.87294200000002,17.250674,8,107.00792,41.401458,0,0,0,17,207.0072896,207.0080876,0,0.000798008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,655,0x0fe09c824879265e71841eb5cc7125a64b6fefa6,1.38,183.45,369.67,2,2,0,2,1,1.614981,1.705271,1.6601259999999998,1.614141,1.704431,1.659286,0,0,0,4,3.31857246,3.32025246,0,0.00168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692,693,0x10f6848b929a3875e806c37a77d00952381ed98d,10888.14,14701.83,934281.92,48,28,0,4,32,0.009,277,66.384949,0,298.9,44.613868,0,0,0,76,2141.465672,1858.778572,0,-282.6870991,17,100001165.8,0.016894408,0,2,11,0,14,0,0,0,0,0,100000000,7142940.413,0,0.016891,0.005631,0,0,0,2,14,Storj, 
693,694,0x10f6ff1fec380e5f0a53a8b0f35df0478a34460c,35.95,9869.86,79246.45,8,8,0,2,1,0.1,11,5.751134,0.096476,10.998242,5.749202,0,0,0,16,45.9936199,46.00907467,0,0.015454767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,700,0x110757a569d1df712b9482aa5e4330c98eb5011a,0,1557.9,266400.83,0,171,1,2,0,0,12.90679,2.254856,0,0,0,0,0,0,172,0,385.5804046,0,385.5804046,2,0.8416001009999999,0,0,0,2,0,2,0,0,0,0,0.042564,0.799036,0.4208,0,0,0,0,0,0,0,2,None,DATAcoin
710,711,0x11420fd97175e443d880857e0aa52c4516c61529,43.16,1645.28,293788.7,174,174,0,5,2,0.523199,152.90671,2.531588,0,152.903353,2.5447330000000004,0,0,0,348,442.7835492,440.4962864,0,-2.287262838,2,1379.576793,1379.576793,0,1,1,0,1,0,0,0,0,1379.576793,1379.576793,1379.576793,1379.576793,1379.576793,1379.576793,0,0,0,1,1,Qtum,Qtum
717,718,0x11750206ac7fffe07b4465d612cf36e415a850e9,105.03,0,315.08,3,1,0,1,2,101,101,101,0.01,97.469261,33.66617100000001,0,0,0,4,100.9985118,101,0,0.001488218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,727,0x11ad8210e637da358b596ec6cedb46ca1387c1a6,22.77,0,68.3,3,1,0,1,3,101,101,101,0.99916,55.13695600000001,33.666149,0,0,0,4,100.998446,101,0,0.001554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,739,0x120e4562ad3e7baf34dd319000a5f20a845db319,24.06,0.18,72.55,3,2,0,2,3,17.048517,83.951483,50.5,5.176794,75.46437900000002,33.666149,0,0,0,5,100.998446,101,0,0.001554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,742,0x12132e1c20678600aeb754dbdcef07fd7167b390,3117.33,5255.01,241461.3,37,24,0,8,15,0.015,7.016331,2.255861,0,28.323879,1.460487,0,0,0,61,54.03800425,54.14066727,0,0.102663018,36,111194.9942,111169.9942,0,6,10,0,6,0,0,0,0,1e-06,58304.821,5559.749712,0,99000,6948.124640000001,0,0,0,6,6,Ether Token,Bancor
755,756,0x1292dbac105e6b1bb1df0cf241018920ac69a8c5,11111.27,0,22222.55,2,1,0,1,2,0.263649,0.263649,0.263649,0.11528800000000003,0.147478,0.131383,0,0,0,3,0.26276661,0.26364861,0,0.000882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,774,0x12f376654fb9169c212a5723562143185236880f,110.5,0.02,331.53,3,2,0,2,3,11.602541,89.397459,50.5,2.629734,91.568039,33.666165,0,0,0,5,100.9984936,101,0,0.001506437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,784,0x13212a62c7d50e346d317a61e76cfac96ca7fe45,0,2187.03,319306.25,0,146,1,3,0,0,0.8746370000000001,0.320469,0,0,0,0,0,0,147,0,46.78843712,0,46.78843712,4,6.432984412000001,0,0,0,4,0,4,0,0,0,0,0,4.811292,1.6082459999999998,0,0,0,0,0,0,0,4,None,DATAcoin
788,789,0x133ef35f1b7fabf15336ce6c1ec061811f2009ff,0,1383.06,396938.23,0,287,1,2,0,0,1.009194,0.217142,0,0,0,0,0,0,288,0,62.31976849,0,62.31976849,3,1.879135946,0,0,0,3,0,3,0,0,0,0,0,0.941237,0.626379,0,0,0,0,0,0,0,3,None,DATAcoin
807,808,0x13c104cc29d89c9f9a21b6405e66237826fe3b66,80.49,8453.46,17067.9,2,2,0,2,2,0.001,4.8308589999999985,2.41593,0.000517,4.830388,2.415452,0,0,0,4,4.830904524,4.83185916,0,0.000954636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,819,0x13f7a93daac102c33e0608d86025d78bca37d31f,0,13338.58,226755.85,0,17,1,7,0,0,10.279458,3.223047,0,0,0,0,0,0,18,0,54.79179592,0,54.79179592,3,7.258966332000001,0,0,0,3,0,3,0,0,0,0,0.891957,5,2.419655,0,0,0,0,0,0,0,3,None,DATAcoin
820,821,0x140664a260693f7f63ea4c8ddec4b4637a5ee47a,3.58,0.03,10.78,3,2,0,2,3,518.291908,1482.708092,1000.5,1.797551,1946.986707,666.999528,0,0,0,5,2000.998585,2001,0,0.001414909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,829,0x14456921869887952c5d5d3ba26ab79d3465cad9,0,10194.57,173307.73,0,17,1,5,0,0,41.39,18.693511,0,0,0,0,0,0,18,0,317.789682,0,317.789682,1,0.602586425,0,0,0,1,0,1,0,0,0,0,0.602586,0.602586,0.602586,0,0,0,0,0,0,0,1,None,OmiseGO
